Transaction Date,Amount,Province,City,Description,Category
2022-09-24,-15.88,BC,RICHMOND,MEMORY CORNER,
2022-09-23,-48.1,BC,VANCOUVER,JUSTIN'S NF #3807,
2022-09-22,-52.5,BC,VANCOUVER,PANDORA'S BOX REHEARSA,
2022-09-22,-20.53,BC,VANCOUVER,R & B BREWING,
2022-09-21,-15.99,BC,VANCOUVER,ZUBU RAMEN,
2022-09-20,-10.5,BC,VANCOUVER,FATBURGER WEST BROADWA,
2022-09-20,-5.23,BC,VANCOUVER,FATBURGER WEST BROADWA,
2022-09-18,-12.53,BC,VANCOUVER,CHURCH'S CHICKEN,
2022-09-18,-17.27,BC,VANCOUVER,MAZUYA SUSHI,Eating Out
2022-09-16,-20.75,BC,VANCOUVER,MCDONALD'S #29138  Q04,
2022-09-16,-9.98,BC,VANCOUVER,FITNESS WORLD KITSILAN,Gym/Fitness
2022-09-16,107.98,OU,MENT - THANK Y,PAY,
2022-09-15,-16.7,BC,VANCOUVER,NOODLEBOX KITSILANO,Eating Out
2022-09-12,-77.0,BC,VANCOUVER,JUSTIN'S NF #3807,
2022-09-12,-2.52,ON,TORONTO,UBER CANADA/UBEREATS,Eating Out
2022-09-12,-3.73,ON,TORONTO,UBER CANADA/UBEREATS,Eating Out
2022-09-12,263.76,OU,MENT - THANK Y,PAY,
2022-09-09,-7.98,BC,VANCOUVER,SHOPPERS DRUG MART #22,Groceries
2022-09-06,-16.75,BC,VANCOUVER,AJIYA SUSHI,Eating Out
2022-09-07,-103.79,BC,VANCOUVER,UNIVERSITY PHARMACY,
